ぼひ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
こざ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
えも,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ん,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
一景,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
まるで,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
セリフ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
出,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ず,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
初日,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ィ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
なれ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ァ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
そう,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
すらすら,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
行か,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ぬ,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
思,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
お,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ぼ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
召せ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
やっ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
我,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ながら,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
大した,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
度胸,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
昭和,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
喜劇,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
役者,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
古川,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ふるか,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
わ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ロッパ,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
日記,"[9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
８,"[9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
元日,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
抜き,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
書き,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
劇場,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
